t,leadI,leadII,leadIII,aVR,aVL,aVF
0,510,512,2,-511,254,257
0.00215331610680448,509,512,3,-510.5,253,257.5
0.00430663221360896,509,512,3,-510.5,253,257.5
0.00645994832041344,508,508,0,-508,254,254
0.00861326442721792,507,505,-2,-506,254.5,251.5
0.0107665805340224,507,503,-4,-505,255.5,249.5
0.0129198966408269,506,507,1,-506.5,252.5,254
0.0150732127476314,510,505,-5,-507.5,257.5,250
0.0172265288544358,510,507,-3,-508.5,256.5,252
0.0193798449612403,511,508,-3,-509.5,257,252.5
0.0215331610680448,511,508,-3,-509.5,257,252.5
0.0236864771748493,514,506,-8,-510,261,249
0.0258397932816537,515,507,-8,-511,261.5,249.5
0.0279931093884582,518,509,-9,-513.5,263.5,250
0.0301464254952627,521,512,-9,-516.5,265,251.5
0.0322997416020672,519,511,-8,-515,263.5,251.5
0.0344530577088717,517,512,-5,-514.5,261,253.5
0.0366063738156761,517,512,-5,-514.5,261,253.5
0.0387596899224806,515,514,-1,-514.5,258,256.5
0.0409130060292851,512,509,-3,-510.5,257.5,253
0.0430663221360896,512,507,-5,-509.5,258.5,251
0.0452196382428941,513,505,-8,-509,260.5,248.5
0.0473729543496985,511,506,-5,-508.5,258,250.5
0.049526270456503,513,509,-4,-511,258.5,252.5
0.0516795865633075,510,508,-2,-509,256,253
0.053832902670112,510,507,-3,-508.5,256.5,252
0.0559862187769165,507,508,1,-507.5,253,254.5
0.0581395348837209,507,508,1,-507.5,253,254.5
0.0602928509905254,504,501,-3,-502.5,253.5,249
0.0624461670973299,499,498,-1,-498.5,250,248.5
0.0645994832041344,497,497,0,-497,248.5,248.5
0.0667527993109388,497,498,1,-497.5,248,249.5
0.0689061154177433,496,498,2,-497,247,250
0.0710594315245478,494,497,3,-495.5,245.5,250
0.0732127476313523,497,496,-1,-496.5,249,247.5
0.0753660637381568,493,496,3,-494.5,245,249.5
0.0775193798449612,495,495,0,-495,247.5,247.5
0.0796726959517657,494,493,-1,-493.5,247.5,246
0.0818260120585702,490,488,-2,-489,246,243
0.0839793281653747,485,491,6,-488,239.5,248.5
0.0861326442721792,484,489,5,-486.5,239.5,247
0.0882859603789836,484,489,5,-486.5,239.5,247
