t,leadI,leadII,leadIII,aVR,aVL,aVF
0,348,328,-20,-338,184,154
0.00281571167112488,340,327,-13,-333.5,176.5,157
0.00563142334224975,339,322,-17,-330.5,178,152.5
0.00844713501337463,340,324,-16,-332,178,154
0.0112628466844995,342,333,-9,-337.5,175.5,162
0.0140785583556244,340,340,0,-340,170,170
0.0168942700267493,330,338,8,-334,161,173
0.0197099816978741,325,335,10,-330,157.5,172.5
0.022525693368999,329,335,6,-332,161.5,170.5
0.0253414050401239,336,336,0,-336,168,168
0.0281571167112488,343,342,-1,-342.5,172,170.5
0.0309728283823736,345,344,-1,-344.5,173,171.5
0.0337885400534985,338,346,8,-342,165,177
0.0366042517246234,329,345,16,-337,156.5,180.5
0.0394199633957483,332,343,11,-337.5,160.5,177
0.0422356750668732,342,344,2,-343,170,173
0.045051386737998,348,343,-5,-345.5,176.5,169
0.0478670984091229,350,347,-3,-348.5,176.5,172
0.0506828100802478,346,351,5,-348.5,170.5,178
0.0534985217513727,337,353,16,-345,160.5,184.5
0.0563142334224975,336,349,13,-342.5,161.5,181
0.0591299450936224,343,347,4,-345,169.5,175.5
0.0619456567647473,352,353,1,-352.5,175.5,177
0.0647613684358722,357,356,-1,-356.5,179,177.5
0.067577080106997,354,353,-1,-353.5,177.5,176
0.0703927917781219,341,351,10,-346,165.5,180.5
0.0732085034492468,334,347,13,-340.5,160.5,180
0.0760242151203717,340,348,8,-344,166,178
0.0788399267914966,347,345,-2,-346,174.5,171.5
0.0816556384626214,352,349,-3,-350.5,177.5,173
0.0844713501337463,350,345,-5,-347.5,177.5,170
0.0872870618048712,340,345,5,-342.5,167.5,175
0.0901027734759961,329,339,10,-334,159.5,174.5
0.0929184851471209,326,335,9,-330.5,158.5,172
0.0957341968182458,328,329,1,-328.5,163.5,165
0.0985499084893707,329,322,-7,-325.5,168,157.5
0.101365620160496,329,321,-8,-325,168.5,156.5
0.10418133183162,324,320,-4,-322,164,158
0.106997043502745,308,316,8,-312,150,162
0.10981275517387,301,312,11,-306.5,145,161.5
0.112628466844995,302,306,4,-304,149,155
0.11544417851612,305,300,-5,-302.5,155,147.5
0.118259890187245,307,300,-7,-303.5,157,146.5
0.12107560185837,305,298,-7,-301.5,156,145.5
0.123891313529495,297,301,4,-299,146.5,152.5
0.126707025200619,287,301,14,-294,136.5,157.5
0.129522736871744,288,296,8,-292,140,152
0.132338448542869,293,294,1,-293.5,146,147.5
0.135154160213994,300,292,-8,-296,154,142
0.137969871885119,303,295,-8,-299,155.5,143.5
0.140785583556244,297,297,0,-297,148.5,148.5
0.143601295227369,288,298,10,-293,139,154
0.146417006898494,283,293,10,-288,136.5,151.5
0.149232718569618,289,292,3,-290.5,143,147.5
0.152048430240743,293,290,-3,-291.5,148,143.5
0.154864141911868,296,292,-4,-294,150,144
0.157679853582993,295,293,-2,-294,148.5,145.5
0.160495565254118,285,293,8,-289,138.5,150.5
0.163311276925243,278,293,15,-285.5,131.5,154
0.166126988596368,283,289,6,-286,138.5,147.5
0.168942700267493,292,292,0,-292,146,146
0.171758411938617,298,292,-6,-295,152,143
0.174574123609742,297,296,-1,-296.5,149,147.5
0.177389835280867,293,298,5,-295.5,144,151.5
0.180205546951992,284,301,17,-292.5,133.5,159
0.183021258623117,287,295,8,-291,139.5,151.5
0.185836970294242,293,297,4,-295,144.5,150.5
0.188652681965367,297,293,-4,-295,150.5,144.5
0.191468393636492,301,296,-5,-298.5,153,145.5
0.194284105307617,295,296,1,-295.5,147,148.5
0.197099816978741,285,296,11,-290.5,137,153.5
0.199915528649866,279,294,15,-286.5,132,154.5
0.202731240320991,289,295,6,-292,141.5,150.5
0.205546951992116,293,292,-1,-292.5,147,145.5
0.208362663663241,298,293,-5,-295.5,151.5,144
0.211178375334366,301,300,-1,-300.5,151,149.5
0.213994087005491,293,304,11,-298.5,141,157.5
0.216809798676616,286,302,16,-294,135,159
0.21962551034774,290,304,14,-297,138,159
0.222441222018865,300,304,4,-302,148,154
0.22525693368999,307,302,-5,-304.5,156,148.5
0.228072645361115,305,301,-4,-303,154.5,148.5
0.23088835703224,297,297,0,-297,148.5,148.5
0.233704068703365,287,298,11,-292.5,138,154.5
