t,leadI,leadII,leadIII,aVR,aVL,aVF
0,402,316,-86,-359,244,115
0.00281491907107671,363,315,-48,-339,205.5,133.5
0.00562983814215341,347,316,-31,-331.5,189,142.5
0.00844475721323012,344,320,-24,-332,184,148
0.0112596762843068,341,317,-24,-329,182.5,146.5
0.0140745953553835,337,319,-18,-328,177.5,150.5
0.0168895144264602,329,320,-9,-324.5,169,155.5
0.0197044334975369,315,321,6,-318,154.5,163.5
0.0225193525686137,311,321,10,-316,150.5,165.5
0.0253342716396904,317,325,8,-321,154.5,166.5
0.0281491907107671,327,326,-1,-326.5,164,162.5
0.0309641097818438,331,328,-3,-329.5,167,162.5
0.0337790288529205,332,329,-3,-330.5,167.5,163
0.0365939479239972,325,331,6,-328,159.5,168.5
0.0394088669950739,319,334,15,-326.5,152,174.5
0.0422237860661506,325,337,12,-331,156.5,174.5
0.0450387051372273,333,335,2,-334,165.5,168.5
0.047853624208304,342,341,-1,-341.5,171.5,170
0.0506685432793807,346,341,-5,-343.5,175.5,168
0.0534834623504574,340,344,4,-342,168,174
0.0562983814215341,330,344,14,-337,158,179
0.0591133004926108,329,340,11,-334.5,159,175.5
0.0619282195636875,336,342,6,-339,165,174
0.0647431386347642,344,343,-1,-343.5,172.5,171
0.067558057705841,352,351,-1,-351.5,176.5,175
0.0703729767769177,353,355,2,-354,175.5,178.5
0.0731878958479944,342,349,7,-345.5,167.5,178
0.0760028149190711,336,349,13,-342.5,161.5,181
0.0788177339901478,340,349,9,-344.5,165.5,179
0.0816326530612245,350,348,-2,-349,176,173
0.0844475721323012,353,349,-4,-351,178.5,172.5
0.0872624912033779,354,351,-3,-352.5,178.5,174
0.0900774102744546,346,351,5,-348.5,170.5,178
0.0928923293455313,337,350,13,-343.5,162,181.5
0.095707248416608,339,352,13,-345.5,163,182.5
0.0985221674876847,346,351,5,-348.5,170.5,178
0.101337086558761,352,349,-3,-350.5,177.5,173
0.104152005629838,353,348,-5,-350.5,179,171.5
0.106966924700915,348,349,1,-348.5,173.5,175
0.109781843771992,337,344,7,-340.5,165,175.5
0.112596762843068,332,345,13,-338.5,159.5,179
0.115411681914145,338,346,8,-342,165,177
0.118226600985222,347,342,-5,-344.5,176,168.5
0.121041520056298,349,344,-5,-346.5,177,169.5
0.123856439127375,347,342,-5,-344.5,176,168.5
0.126671358198452,336,344,8,-340,164,176
0.129486277269528,329,343,14,-336,157.5,178.5
0.132301196340605,330,340,10,-335,160,175
0.135116115411682,338,338,0,-338,169,169
0.137931034482759,342,336,-6,-339,174,165
0.140745953553835,341,332,-9,-336.5,175,161.5
0.143560872624912,329,326,-3,-327.5,166,161.5
0.146375791695989,314,323,9,-318.5,152.5,166
0.149190710767065,308,322,14,-315,147,168
0.152005629838142,318,321,3,-319.5,157.5,162
0.154820548909219,323,317,-6,-320,164.5,155.5
0.157635467980296,323,315,-8,-319,165.5,153.5
0.160450387051372,316,310,-6,-313,161,152
0.163265306122449,303,308,5,-305.5,149,156.5
0.166080225193526,297,312,15,-304.5,141,163.5
0.168895144264602,305,313,8,-309,148.5,160.5
0.171710063335679,315,314,-1,-314.5,158,156.5
0.174524982406756,320,318,-2,-319,161,158
0.177339901477833,320,315,-5,-317.5,162.5,155
0.180154820548909,313,316,3,-314.5,155,159.5
0.182969739619986,303,316,13,-309.5,145,164.5
0.185784658691063,301,312,11,-306.5,145,161.5
0.188599577762139,309,310,1,-309.5,154,155.5
0.191414496833216,314,314,0,-314,157,157
0.194229415904293,317,313,-4,-315,160.5,154.5
0.197044334975369,315,315,0,-315,157.5,157.5
0.199859254046446,306,317,11,-311.5,147.5,164
0.202674173117523,303,319,16,-311,143.5,167.5
0.2054890921886,312,321,9,-316.5,151.5,165
0.208304011259676,320,320,0,-320,160,160
0.211118930330753,323,318,-5,-320.5,164,156.5
0.21393384940183,322,318,-4,-320,163,157
0.216748768472906,310,315,5,-312.5,152.5,160
0.219563687543983,302,316,14,-309,144,165
0.22237860661506,306,316,10,-311,148,163
0.225193525686137,316,319,3,-317.5,156.5,161
0.228008444757213,324,321,-3,-322.5,163.5,159
0.23082336382829,328,324,-4,-326,166,160
0.233638282899367,322,325,3,-323.5,159.5,164
0.236453201970443,313,326,13,-319.5,150,169.5
0.23926812104152,309,326,17,-317.5,146,171.5
0.242083040112597,317,322,5,-319.5,156,163.5
0.244897959183673,324,324,0,-324,162,162
0.24771287825475,327,321,-6,-324,166.5,157.5
0.250527797325827,325,323,-2,-324,163.5,160.5
0.253342716396904,315,326,11,-320.5,152,168.5
0.25615763546798,310,325,15,-317.5,147.5,170
0.258972554539057,318,328,10,-323,154,169
0.261787473610134,327,330,3,-328.5,162,166.5
0.26460239268121,329,328,-1,-328.5,165,163.5
0.267417311752287,329,324,-5,-326.5,167,159.5
0.270232230823364,317,317,0,-317,158.5,158.5
0.273047149894441,305,317,12,-311,146.5,164.5
0.275862068965517,305,317,12,-311,146.5,164.5
0.278676988036594,312,312,0,-312,156,156
0.281491907107671,315,310,-5,-312.5,160,152.5
0.284306826178747,314,305,-9,-309.5,161.5,148
0.287121745249824,309,306,-3,-307.5,156,151.5
0.289936664320901,297,306,9,-301.5,144,157.5
0.292751583391977,295,308,13,-301.5,141,160.5
0.295566502463054,298,304,6,-301,146,155
0.298381421534131,305,303,-2,-304,153.5,150.5
0.301196340605208,305,299,-6,-302,155.5,146.5
0.304011259676284,300,292,-8,-296,154,142
0.306826178747361,288,292,4,-290,142,148
0.309641097818438,278,292,14,-285,132,153
0.312456016889514,283,292,9,-287.5,137,150.5
0.315270935960591,293,292,-1,-292.5,147,145.5
0.318085855031668,298,296,-2,-297,150,147
0.320900774102745,301,296,-5,-298.5,153,145.5
0.323715693173821,297,299,2,-298,147.5,150.5
0.326530612244898,284,296,12,-290,136,154
0.329345531315975,283,293,10,-288,136.5,151.5
0.332160450387051,289,291,2,-290,143.5,146.5
0.334975369458128,293,292,-1,-292.5,147,145.5
0.337790288529205,294,288,-6,-291,150,141
0.340605207600282,290,286,-4,-288,147,141
0.343420126671358,278,282,4,-280,137,143
0.346235045742435,269,281,12,-275,128.5,146.5
0.349049964813512,274,283,9,-278.5,132.5,146
0.351864883884588,284,281,-3,-282.5,143.5,139
0.354679802955665,290,289,-1,-289.5,145.5,144
0.357494722026742,302,305,3,-303.5,149.5,154
0.360309641097818,314,330,16,-322,149,173
0.363124560168895,335,372,37,-353.5,149,204.5
0.365939479239972,371,413,42,-392,164.5,227.5
0.368754398311049,414,450,36,-432,189,243
0.371569317382125,449,475,26,-462,211.5,250.5
0.374384236453202,465,483,18,-474,223.5,250.5
0.377199155524279,454,465,11,-459.5,221.5,238
0.380014074595355,424,432,8,-428,208,220
0.382828993666432,390,391,1,-390.5,194.5,196
0.385643912737509,365,355,-10,-360,187.5,172.5
0.388458831808585,342,320,-22,-331,182,149
0.391273750879662,324,296,-28,-310,176,134
0.394088669950739,307,281,-26,-294,166.5,127.5
0.396903589021816,288,275,-13,-281.5,150.5,131
0.399718508092892,279,279,0,-279,139.5,139.5
0.402533427163969,284,289,5,-286.5,139.5,147
0.405348346235046,294,292,-2,-293,148,145
0.408163265306122,301,296,-5,-298.5,153,145.5
0.410978184377199,299,291,-8,-295,153.5,141.5
0.413793103448276,289,287,-2,-288,145.5,142.5
0.416608022519353,276,283,7,-279.5,134.5,145
0.419422941590429,271,282,11,-276.5,130,146.5
0.422237860661506,280,284,4,-282,138,144
0.425052779732583,289,287,-2,-288,145.5,142.5
0.427867698803659,293,289,-4,-291,148.5,142.5
0.430682617874736,294,289,-5,-291.5,149.5,142
0.433497536945813,286,292,6,-289,140,149
0.43631245601689,279,293,14,-286,132.5,153.5
0.439127375087966,285,295,10,-290,137.5,152.5
0.441942294159043,292,296,4,-294,144,150
0.44475721323012,298,293,-5,-295.5,151.5,144
0.447572132301196,298,294,-4,-296,151,145
0.450387051372273,290,293,3,-291.5,143.5,148
0.45320197044335,281,295,14,-288,133.5,154.5
