t,leadI,leadII,leadIII,aVR,aVL,aVF
0,853,239,-614,-546,733.5,-187.5
0.00216333153055706,851,296,-555,-573.5,703,-129.5
0.00432666306111412,850,322,-528,-586,689,-103
0.00648999459167117,851,347,-504,-599,677.5,-78.5
0.00865332612222823,849,363,-486,-606,667.5,-61.5
0.0108166576527853,848,354,-494,-601,671,-70
0.0129799891833423,846,322,-524,-584,685,-101
0.0151433207138994,845,307,-538,-576,691.5,-115.5
0.0173066522444565,845,300,-545,-572.5,695,-122.5
0.0194699837750135,842,298,-544,-570,693,-123
0.0216333153055706,841,294,-547,-567.5,694,-126.5
0.0237966468361276,841,289,-552,-565,696.5,-131.5
0.0259599783666847,837,296,-541,-566.5,689,-122.5
0.0281233098972418,838,306,-532,-572,685,-113
0.0302866414277988,835,319,-516,-577,675.5,-98.5
0.0324499729583559,836,328,-508,-582,672,-90
0.0346133044889129,834,320,-514,-577,674,-97
0.03677663601947,832,310,-522,-571,677,-106
0.038939967550027,833,294,-539,-563.5,686,-122.5
0.0411032990805841,831,276,-555,-553.5,693,-139.5
0.0432666306111412,831,279,-552,-555,691.5,-136.5
0.0454299621416982,830,290,-540,-560,685,-125
0.0475932936722553,829,305,-524,-567,676.5,-109.5
0.0497566252028123,830,311,-519,-570.5,674.5,-104
0.0519199567333694,829,308,-521,-568.5,675,-106.5
0.0540832882639264,830,296,-534,-563,682,-119
0.0562466197944835,829,294,-535,-561.5,682,-120.5
0.0584099513250406,829,299,-530,-564,679.5,-115.5
0.0605732828555976,826,299,-527,-562.5,676.5,-114
0.0627366143861547,826,302,-524,-564,675,-111
0.0648999459167117,826,300,-526,-563,676,-113
0.0670632774472688,828,297,-531,-562.5,679.5,-117
0.0692266089778259,825,297,-528,-561,676.5,-115.5
0.0713899405083829,826,292,-534,-559,680,-121
0.07355327203894,828,274,-554,-551,691,-140
0.075716603569497,829,282,-547,-555.5,688,-132.5
0.0778799351000541,828,299,-529,-563.5,678.5,-115
0.0800432666306111,830,315,-515,-572.5,672.5,-100
0.0822065981611682,829,323,-506,-576,667.5,-91.5
0.0843699296917253,829,328,-501,-578.5,665,-86.5
0.0865332612222823,829,331,-498,-580,663.5,-83.5
0.0886965927528394,831,311,-520,-571,675.5,-104.5
0.0908599242833964,829,301,-528,-565,678.5,-113.5
0.0930232558139535,832,292,-540,-562,686,-124
0.0951865873445105,830,310,-520,-570,675,-105
0.0973499188750676,830,301,-529,-565.5,679.5,-114
0.0995132504056247,830,308,-522,-569,676,-107
0.101676581936182,831,306,-525,-568.5,678,-109.5
0.103839913466739,832,292,-540,-562,686,-124
0.106003244997296,835,290,-545,-562.5,690,-127.5
0.108166576527853,837,284,-553,-560.5,695,-134.5
0.11032990805841,836,277,-559,-556.5,697.5,-141
0.112493239588967,836,264,-572,-550,704,-154
0.114656571119524,834,270,-564,-552,699,-147
0.116819902650081,835,275,-560,-555,697.5,-142.5
0.118983234180638,835,289,-546,-562,690.5,-128.5
0.121146565711195,833,297,-536,-565,684.5,-119.5
0.123309897241752,834,299,-535,-566.5,684.5,-118
0.125473228772309,834,292,-542,-563,688,-125
0.127636560302866,835,284,-551,-559.5,693,-133.5
0.129799891833423,836,284,-552,-560,694,-134
0.131963223363981,836,288,-548,-562,692,-130
0.134126554894538,836,291,-545,-563.5,690.5,-127
0.136289886425095,837,298,-539,-567.5,688,-120.5
0.138453217955652,839,309,-530,-574,684.5,-110.5
0.140616549486209,838,308,-530,-573,684,-111
0.142779881016766,838,299,-539,-568.5,688.5,-120
0.144943212547323,838,284,-554,-561,696,-135
0.14710654407788,838,269,-569,-553.5,703.5,-150
0.149269875608437,839,269,-570,-554,704.5,-150.5
0.151433207138994,837,280,-557,-558.5,697,-138.5
0.153596538669551,839,291,-548,-565,693.5,-128.5
0.155759870200108,837,288,-549,-562.5,693,-130.5
0.157923201730665,837,284,-553,-560.5,695,-134.5
0.160086533261222,837,284,-553,-560.5,695,-134.5
0.162249864791779,838,290,-548,-564,693,-129
0.164413196322336,837,297,-540,-567,688.5,-121.5
0.166576527852893,838,292,-546,-565,692,-127
0.168739859383451,840,292,-548,-566,694,-128
0.170903190914008,839,289,-550,-564,694.5,-130.5
0.173066522444565,838,290,-548,-564,693,-129
0.175229853975122,837,290,-547,-563.5,692,-128.5
0.177393185505679,837,293,-544,-565,690.5,-125.5
0.179556517036236,838,289,-549,-563.5,693.5,-130
0.181719848566793,837,285,-552,-561,694.5,-133.5
0.18388318009735,837,285,-552,-561,694.5,-133.5
0.186046511627907,837,288,-549,-562.5,693,-130.5
0.188209843158464,838,303,-535,-570.5,686.5,-116
0.190373174689021,839,314,-525,-576.5,682,-105.5
0.192536506219578,839,318,-521,-578.5,680,-101.5
0.194699837750135,838,311,-527,-574.5,682.5,-108
0.196863169280692,839,304,-535,-571.5,687,-115.5
0.199026500811249,838,299,-539,-568.5,688.5,-120
0.201189832341806,837,294,-543,-565.5,690,-124.5
0.203353163872363,837,289,-548,-563,692.5,-129.5
0.20551649540292,839,294,-545,-566.5,692,-125.5
0.207679826933478,837,303,-534,-570,685.5,-115.5
0.209843158464035,839,310,-529,-574.5,684,-109.5
0.212006489994592,839,303,-536,-571,687.5,-116.5
0.214169821525149,841,295,-546,-568,693.5,-125.5
0.216333153055706,841,297,-544,-569,692.5,-123.5
0.218496484586263,841,290,-551,-565.5,696,-130.5
0.22065981611682,843,289,-554,-566,698.5,-132.5
0.222823147647377,842,283,-559,-562.5,700.5,-138
0.224986479177934,843,291,-552,-567,697.5,-130.5
0.227149810708491,845,297,-548,-571,696.5,-125.5
0.229313142239048,844,299,-545,-571.5,694.5,-123
0.231476473769605,844,302,-542,-573,693,-120
0.233639805300162,844,306,-538,-575,691,-116
0.235803136830719,842,294,-548,-568,695,-127
0.237966468361276,842,290,-552,-566,697,-131
0.240129799891833,842,287,-555,-564.5,698.5,-134
0.24229313142239,841,295,-546,-568,693.5,-125.5
0.244456462952948,841,302,-539,-571.5,690,-118.5
0.246619794483505,843,302,-541,-572.5,692,-119.5
0.248783126014062,844,304,-540,-574,692,-118
0.250946457544619,846,303,-543,-574.5,694.5,-120
0.253109789075176,845,297,-548,-571,696.5,-125.5
0.255273120605733,848,291,-557,-569.5,702.5,-133
0.25743645213629,846,287,-559,-566.5,702.5,-136
0.259599783666847,847,292,-555,-569.5,701,-131.5
0.261763115197404,846,300,-546,-573,696,-123
0.263926446727961,845,304,-541,-574.5,693,-118.5
0.266089778258518,847,308,-539,-577.5,693,-115.5
0.268253109789075,847,300,-547,-573.5,697,-123.5
0.270416441319632,845,293,-552,-569,698.5,-129.5
0.272579772850189,844,287,-557,-565.5,700.5,-135
0.274743104380746,844,284,-560,-564,702,-138
0.276906435911303,843,290,-553,-566.5,698,-131.5
0.27906976744186,841,291,-550,-566,695.5,-129.5
0.281233098972418,841,289,-552,-565,696.5,-131.5
0.283396430502975,839,274,-565,-556.5,702,-145.5
0.285559762033532,838,277,-561,-557.5,699.5,-142
0.287723093564089,840,264,-576,-552,708,-156
0.289886425094646,838,253,-585,-545.5,711.5,-166
0.292049756625203,837,242,-595,-539.5,716,-176.5
0.29421308815576,836,233,-603,-534.5,719.5,-185
0.296376419686317,834,238,-596,-536,715,-179
0.298539751216874,833,236,-597,-534.5,715,-180.5
0.300703082747431,833,243,-590,-538,711.5,-173.5
0.302866414277988,832,254,-578,-543,705,-162
0.305029745808545,832,248,-584,-540,708,-168
0.307193077339102,832,252,-580,-542,706,-164
0.309356408869659,834,230,-604,-532,719,-187
0.311519740400216,834,221,-613,-527.5,723.5,-196
