t,leadI,leadII,leadIII,aVR,aVL,aVF
0,395,352,-43,-373.5,219,154.5
0.00281610813855252,386,355,-31,-370.5,208.5,162
0.00563221627710504,377,353,-24,-365,200.5,164.5
0.00844832441565756,368,355,-13,-361.5,190.5,171
0.0112644325542101,358,355,-3,-356.5,180.5,176
0.0140805406927626,351,353,2,-352,174.5,177.5
0.0168966488313151,350,345,-5,-347.5,177.5,170
0.0197127569698676,350,344,-6,-347,178,169
0.0225288651084202,350,343,-7,-346.5,178.5,168
0.0253449732469727,352,351,-1,-351.5,176.5,175
0.0281610813855252,349,354,5,-351.5,172,179.5
0.0309771895240777,345,352,7,-348.5,169,179.5
0.0337932976626302,346,351,5,-348.5,170.5,178
0.0366094058011828,351,350,-1,-350.5,176,174.5
0.0394255139397353,353,351,-2,-352,177.5,174.5
0.0422416220782878,351,349,-2,-350,176.5,173.5
0.0450577302168403,346,348,2,-347,172,175
0.0478738383553928,339,347,8,-343,165.5,177.5
0.0506899464939454,336,346,10,-341,163,178
0.0535060546324979,342,345,3,-343.5,169.5,174
0.0563221627710504,346,343,-3,-344.5,174.5,170
0.0591382709096029,346,347,1,-346.5,172.5,174
0.0619543790481554,346,347,1,-346.5,172.5,174
0.064770487186708,341,349,8,-345,166.5,178.5
0.0675865953252605,337,349,12,-343,162.5,180.5
0.070402703463813,339,346,7,-342.5,166,176.5
0.0732188116023655,344,343,-1,-343.5,172.5,171
0.076034919740918,346,345,-1,-345.5,173.5,172
0.0788510278794706,346,347,1,-346.5,172.5,174
0.0816671360180231,342,346,4,-344,169,175
0.0844832441565756,336,344,8,-340,164,176
0.0872993522951281,336,345,9,-340.5,163.5,177
0.0901154604336806,340,345,5,-342.5,167.5,175
0.0929315685722332,342,342,0,-342,171,171
0.0957476767107857,345,343,-2,-344,173.5,170.5
0.0985637848493382,345,347,2,-346,171.5,174.5
0.101379892987891,340,350,10,-345,165,180
0.104196001126443,337,351,14,-344,161.5,182.5
0.107012109264996,342,349,7,-345.5,167.5,178
0.109828217403548,344,342,-2,-343,173,170
0.112644325542101,343,343,0,-343,171.5,171.5
0.115460433680653,341,342,1,-341.5,170,171.5
0.118276541819206,341,349,8,-345,166.5,178.5
0.121092649957758,338,353,15,-345.5,161.5,184
0.123908758096311,344,355,11,-349.5,166.5,183
0.126724866234863,347,350,3,-348.5,172,176.5
0.129540974373416,349,347,-2,-348,175.5,172.5
0.132357082511968,347,348,1,-347.5,173,174.5
0.135173190650521,344,349,5,-346.5,169.5,177
0.137989298789073,340,351,11,-345.5,164.5,181
0.140805406927626,343,357,14,-350,164.5,185.5
0.143621515066179,351,357,6,-354,172.5,181.5
0.146437623204731,355,360,5,-357.5,175,182.5
0.149253731343284,357,357,0,-357,178.5,178.5
0.152069839481836,355,355,0,-355,177.5,177.5
0.154885947620389,351,359,8,-355,171.5,183.5
0.157702055758941,351,363,12,-357,169.5,187.5
0.160518163897494,356,368,12,-362,172,190
0.163334272036046,362,366,4,-364,179,185
