t,leadI,leadII,leadIII,aVR,aVL,aVF
0,376,335,-41,-355.5,208.5,147
0.00281412691712396,368,342,-26,-355,197,158
0.00562825383424792,361,339,-22,-350,191.5,158.5
0.00844238075137189,354,337,-17,-345.5,185.5,160
0.0112565076684958,344,331,-13,-337.5,178.5,159
0.0140706345856198,328,325,-3,-326.5,165.5,161
0.0168847615027438,320,322,2,-321,159,162
0.0196988884198677,319,323,4,-321,157.5,163.5
0.0225130153369917,320,318,-2,-319,161,158
0.0253271422541157,323,320,-3,-321.5,163,158.5
0.0281412691712396,327,323,-4,-325,165.5,159.5
0.0309553960883636,327,332,5,-329.5,161,168.5
0.0337695230054875,325,336,11,-330.5,157,173.5
0.0365836499226115,322,332,10,-327,156,171
0.0393977768397355,325,330,5,-327.5,160,167.5
0.0422119037568594,328,329,1,-328.5,163.5,165
0.0450260306739834,330,328,-2,-329,166,163
0.0478401575911074,330,334,4,-332,163,169
0.0506542845082313,328,335,7,-331.5,160.5,171
0.0534684114253553,322,334,12,-328,155,173
0.0562825383424792,325,335,10,-330,157.5,172.5
0.0590966652596032,328,330,2,-329,163,166
0.0619107921767272,327,323,-4,-325,165.5,159.5
0.0647249190938511,318,313,-5,-315.5,161.5,154
0.0675390460109751,314,316,2,-315,156,159
0.070353172928099,311,320,9,-315.5,151,164.5
0.073167299845223,313,325,12,-319,150.5,168.5
0.075981426762347,318,322,4,-320,157,163
0.0787955536794709,321,321,0,-321,160.5,160.5
0.0816096805965949,323,320,-3,-321.5,163,158.5
0.0844238075137189,321,322,1,-321.5,160,161.5
0.0872379344308428,311,318,7,-314.5,152,162.5
0.0900520613479668,307,311,4,-309,151.5,157.5
0.0928661882650907,307,311,4,-309,151.5,157.5
0.0956803151822147,311,313,2,-312,154.5,157.5
0.0984944420993387,313,311,-2,-312,157.5,154.5
0.101308569016463,311,309,-2,-310,156.5,153.5
0.104122695933587,304,308,4,-306,150,156
0.106936822850711,302,312,10,-307,146,161
0.109750949767835,304,313,9,-308.5,147.5,161
0.112565076684958,311,315,4,-313,153.5,159.5
0.115379203602082,318,318,0,-318,159,159
0.118193330519206,321,318,-3,-319.5,162,157.5
0.12100745743633,314,318,4,-316,155,161
0.123821584353454,306,317,11,-311.5,147.5,164
0.126635711270578,303,313,10,-308,146.5,161.5
0.129449838187702,306,312,6,-309,150,159
0.132263965104826,310,309,-1,-309.5,155.5,154
0.13507809202195,311,310,-1,-310.5,156,154.5
0.137892218939074,310,309,-1,-309.5,155.5,154
0.140706345856198,305,311,6,-308,149.5,158.5
0.143520472773322,301,311,10,-306,145.5,160.5
0.146334599690446,304,314,10,-309,147,162
0.14914872660757,309,312,3,-310.5,153,157.5
0.151962853524694,311,310,-1,-310.5,156,154.5
0.154776980441818,311,311,0,-311,155.5,155.5
0.157591107358942,310,314,4,-312,153,159
0.160405234276066,306,318,12,-312,147,165
0.16321936119319,307,318,11,-312.5,148,164.5
0.166033488110314,309,311,2,-310,153.5,156.5
0.168847615027438,305,299,-6,-302,155.5,146.5
0.171661741944562,305,303,-2,-304,153.5,150.5
0.174475868861686,311,315,4,-313,153.5,159.5
0.17728999577881,312,324,12,-318,150,168
0.180104122695934,312,325,13,-318.5,149.5,169
0.182918249613058,318,325,7,-321.5,155.5,166
0.185732376530181,320,322,2,-321,159,162
0.188546503447305,320,316,-4,-318,162,156
0.191360630364429,315,310,-5,-312.5,160,152.5
0.194174757281553,305,308,3,-306.5,151,155.5
0.196988884198677,300,307,7,-303.5,146.5,157
0.199803011115801,305,314,9,-309.5,148,161.5
0.202617138032925,317,323,6,-320,155.5,164.5
0.205431264950049,321,326,5,-323.5,158,165.5
0.208245391867173,324,325,1,-324.5,161.5,163
0.211059518784297,317,320,3,-318.5,157,161.5
0.213873645701421,309,317,8,-313,150.5,162.5
0.216687772618545,309,317,8,-313,150.5,162.5
0.219501899535669,317,320,3,-318.5,157,161.5
0.222316026452793,320,320,0,-320,160,160
0.225130153369917,323,321,-2,-322,162.5,159.5
0.227944280287041,323,321,-2,-322,162.5,159.5
0.230758407204165,317,323,6,-320,155.5,164.5
0.233572534121289,311,321,10,-316,150.5,165.5
0.236386661038413,312,321,9,-316.5,151.5,165
0.239200787955537,322,325,3,-323.5,159.5,164
0.242014914872661,328,330,2,-329,163,166
0.244829041789785,328,329,1,-328.5,163.5,165
0.247643168706909,327,333,6,-330,160.5,169.5
0.250457295624033,323,334,11,-328.5,156,172.5
0.253271422541157,325,339,14,-332,155.5,176.5
0.256085549458281,338,346,8,-342,165,177
0.258899676375405,344,347,3,-345.5,170.5,175
0.261713803292528,345,344,-1,-344.5,173,171.5
0.264527930209652,343,348,5,-345.5,169,176.5
0.267342057126776,337,348,11,-342.5,163,179.5
0.2701561840439,335,346,11,-340.5,162,178.5
0.272970310961024,340,346,6,-343,167,176
0.275784437878148,345,346,1,-345.5,172,173.5
0.278598564795272,348,348,0,-348,174,174
0.281412691712396,349,349,0,-349,174.5,174.5
0.28422681862952,345,351,6,-348,169.5,178.5
0.287040945546644,340,351,11,-345.5,164.5,181
0.289855072463768,339,349,10,-344,164.5,179.5
0.292669199380892,341,344,3,-342.5,169,173.5
0.295483326298016,343,340,-3,-341.5,173,168.5
0.29829745321514,337,333,-4,-335,170.5,164.5
0.301111580132264,330,327,-3,-328.5,166.5,162
0.303925707049388,318,322,4,-320,157,163
0.306739833966512,312,316,4,-314,154,160
0.309553960883636,316,314,-2,-315,159,156
0.31236808780076,318,313,-5,-315.5,161.5,154
0.315182214717884,318,311,-7,-314.5,162.5,152
0.317996341635008,315,313,-2,-314,158.5,155.5
0.320810468552132,311,317,6,-314,152.5,161.5
0.323624595469256,305,314,9,-309.5,148,161.5
0.32643872238638,306,310,4,-308,151,157
0.329252849303504,309,307,-2,-308,155.5,152.5
0.332066976220628,310,308,-2,-309,156,153
0.334881103137751,308,306,-2,-307,155,152
0.337695230054875,302,303,1,-302.5,150.5,152
0.340509356971999,294,302,8,-298,143,155
0.343323483889123,290,297,7,-293.5,141.5,152
