t,leadI,leadII,leadIII,aVR,aVL,aVF
0,348,302,-46,-325,197,128
0.00276701715550636,343,323,-20,-333,181.5,151.5
0.00553403431101273,361,351,-10,-356,185.5,170.5
0.00830105146651909,387,386,-1,-386.5,194,192.5
0.0110680686220255,413,423,10,-418,201.5,216.5
0.0138350857775318,437,455,18,-446,209.5,236.5
0.0166021029330382,444,474,30,-459,207,252
0.0193691200885446,448,476,28,-462,210,252
0.0221361372440509,443,455,12,-449,215.5,233.5
0.0249031543995573,427,423,-4,-425,215.5,209.5
0.0276701715550636,404,384,-20,-394,212,182
0.03043718871057,372,348,-24,-360,198,162
0.0332042058660764,334,316,-18,-325,176,149
0.0359712230215827,304,292,-12,-298,158,140
0.0387382401770891,291,277,-14,-284,152.5,131.5
0.0415052573325955,293,280,-13,-286.5,153,133.5
0.0442722744881018,299,286,-13,-292.5,156,136.5
0.0470392916436082,303,295,-8,-299,155.5,143.5
0.0498063087991146,299,299,0,-299,149.5,149.5
0.0525733259546209,291,305,14,-298,138.5,159.5
0.0553403431101273,290,303,13,-296.5,138.5,158
0.0581073602656337,293,300,7,-296.5,143,153.5
0.06087437742114,300,295,-5,-297.5,152.5,145
0.0636413945766464,300,294,-6,-297,153,144
0.0664084117321527,297,297,0,-297,148.5,148.5
0.0691754288876591,287,295,8,-291,139.5,151.5
0.0719424460431655,283,297,14,-290,134.5,155.5
0.0747094631986718,289,297,8,-293,140.5,152.5
0.0774764803541782,297,297,0,-297,148.5,148.5
0.0802434975096846,301,297,-4,-299,152.5,146.5
0.0830105146651909,301,298,-3,-299.5,152,147.5
0.0857775318206973,294,298,4,-296,145,151
0.0885445489762037,283,297,14,-290,134.5,155.5
0.09131156613171,285,297,12,-291,136.5,154.5
0.0940785832872164,292,296,4,-294,144,150
0.0968456004427228,300,298,-2,-299,151,148
0.0996126175982291,304,299,-5,-301.5,154.5,147
0.102379634753735,300,299,-1,-299.5,150.5,149
0.105146651909242,290,302,12,-296,139,157
0.107913669064748,288,300,12,-294,138,156
0.110680686220255,294,302,8,-298,143,155
0.113447703375761,303,303,0,-303,151.5,151.5
0.116214720531267,308,303,-5,-305.5,156.5,149
0.118981737686774,306,302,-4,-304,155,149
0.12174875484228,297,304,7,-300.5,145,155.5
0.124515771997786,288,304,16,-296,136,160
0.127282789153293,292,305,13,-298.5,139.5,159
0.130049806308799,302,306,4,-304,149,155
0.132816823464305,309,308,-1,-308.5,155,153.5
0.135583840619812,311,310,-1,-310.5,156,154.5
0.138350857775318,308,310,2,-309,153,156
0.141117874930825,299,314,15,-306.5,142,164.5
0.143884892086331,298,312,14,-305,142,163
0.146651909241837,305,310,5,-307.5,150,157.5
0.149418926397344,312,314,2,-313,155,158
0.15218594355285,318,314,-4,-316,161,155
0.154952960708356,317,317,0,-317,158.5,158.5
0.157719977863863,308,319,11,-313.5,148.5,165
0.160486995019369,303,318,15,-310.5,144,166.5
