t,leadI,leadII,leadIII,aVR,aVL,aVF
0,420,323,-97,-371.5,258.5,113
0.0028062298302231,396,324,-72,-360,234,126
0.00561245966044619,374,322,-52,-348,213,135
0.00841868949066928,351,316,-35,-333.5,193,140.5
0.0112249193208924,329,309,-20,-319,174.5,144.5
0.0140311491511155,319,312,-7,-315.5,163,152.5
0.0168373789813386,321,307,-14,-314,167.5,146.5
0.0196436088115617,323,307,-16,-315,169.5,145.5
0.0224498386417848,320,306,-14,-313,167,146
0.0252560684720079,317,306,-11,-311.5,164,147.5
0.028062298302231,308,310,2,-309,153,156
0.030868528132454,301,309,8,-305,146.5,158.5
0.0336747579626771,308,315,7,-311.5,150.5,161
0.0364809877929002,315,312,-3,-313.5,159,154.5
0.0392872176231233,321,315,-6,-318,163.5,154.5
0.0420934474533464,323,318,-5,-320.5,164,156.5
0.0448996772835695,317,317,0,-317,158.5,158.5
0.0477059071137926,306,316,10,-311,148,163
0.0505121369440157,303,313,10,-308,146.5,161.5
0.0533183667742388,308,310,2,-309,153,156
0.0561245966044619,315,310,-5,-312.5,160,152.5
0.058930826434685,316,309,-7,-312.5,161.5,151
0.0617370562649081,309,303,-6,-306,157.5,148.5
0.0645432860951312,299,304,5,-301.5,147,154.5
0.0673495159253543,295,306,11,-300.5,142,158.5
0.0701557457555774,303,309,6,-306,148.5,157.5
0.0729619755858005,310,308,-2,-309,156,153
0.0757682054160236,315,312,-3,-313.5,159,154.5
0.0785744352462467,319,313,-6,-316,162.5,153.5
0.0813806650764698,323,331,8,-327,157.5,169.5
0.0841868949066929,338,365,27,-351.5,155.5,196
0.0869931247369159,370,402,32,-386,169,217
0.089799354567139,412,437,25,-424.5,193.5,231
0.0926055843973621,446,466,20,-456,213,243
0.0954118142275852,472,490,18,-481,227,254
0.0982180440578083,475,488,13,-481.5,231,250.5
0.101024273888031,454,472,18,-463,218,245
0.103830503718255,429,440,11,-434.5,209,225.5
0.106636733548478,410,403,-7,-406.5,208.5,198
0.109442963378701,389,373,-16,-381,202.5,178.5
0.112249193208924,368,347,-21,-357.5,194.5,163
0.115055423039147,346,328,-18,-337,182,155
0.11786165286937,321,311,-10,-316,165.5,150.5
0.120667882699593,307,308,1,-307.5,153,154.5
0.123474112529816,307,309,2,-308,152.5,155.5
0.126280342360039,318,313,-5,-315.5,161.5,154
0.129086572190262,328,321,-7,-324.5,167.5,157
0.131892802020485,328,322,-6,-325,167,158
0.134699031850709,324,324,0,-324,162,162
0.137505261680932,313,326,13,-319.5,150,169.5
0.140311491511155,313,325,12,-319,150.5,168.5
0.143117721341378,322,326,4,-324,159,165
0.145923951171601,327,323,-4,-325,165.5,159.5
0.148730181001824,328,322,-6,-325,167,158
0.151536410832047,323,320,-3,-321.5,163,158.5
0.15434264066227,314,323,9,-318.5,152.5,166
0.157148870492493,313,325,12,-319,150.5,168.5
0.159955100322716,316,324,8,-320,154,166
0.16276133015294,323,324,1,-323.5,161,162.5
0.165567559983163,329,325,-4,-327,166.5,160.5
0.168373789813386,331,328,-3,-329.5,167,162.5
0.171180019643609,321,326,5,-323.5,158,165.5
0.173986249473832,313,326,13,-319.5,150,169.5
0.176792479304055,316,325,9,-320.5,153.5,167
0.179598709134278,325,327,2,-326,161.5,164.5
0.182404938964501,336,331,-5,-333.5,170.5,163
0.185211168794724,339,337,-2,-338,170.5,167.5
0.188017398624947,336,335,-1,-335.5,168.5,167
0.19082362845517,324,335,11,-329.5,156.5,173
0.193629858285394,318,332,14,-325,152,173
0.196436088115617,322,327,5,-324.5,158.5,166
0.19924231794584,329,327,-2,-328,165.5,162.5
0.202048547776063,334,333,-1,-333.5,167.5,166
0.204854777606286,338,338,0,-338,169,169
0.207661007436509,331,342,11,-336.5,160,176.5
0.210467237266732,323,338,15,-330.5,154,176.5
0.213273467096955,325,335,10,-330,157.5,172.5
0.216079696927178,332,334,2,-333,165,168
0.218885926757401,337,335,-2,-336,169.5,166.5
0.221692156587625,340,341,1,-340.5,169.5,171
0.224498386417848,338,345,7,-341.5,165.5,176
