t,leadI,leadII,leadIII,aVR,aVL,aVF
0,367,396,29,-381.5,169,212.5
0.00216379963215406,372,392,20,-382,176,206
0.00432759926430813,377,390,13,-383.5,182,201.5
0.00649139889646219,380,391,11,-385.5,184.5,201
0.00865519852861625,379,388,9,-383.5,185,198.5
0.0108189981607703,376,384,8,-380,184,196
0.0129827977929244,379,386,7,-382.5,186,196.5
0.0151465974250784,378,384,6,-381,186,195
0.0173103970572325,377,382,5,-379.5,186,193.5
0.0194741966893866,376,383,7,-379.5,184.5,195
0.0216379963215406,377,382,5,-379.5,186,193.5
0.0238017959536947,377,379,2,-378,187.5,190.5
0.0259655955858488,375,379,4,-377,185.5,191.5
0.0281293952180028,376,380,4,-378,186,192
0.0302931948501569,374,380,6,-377,184,193
0.0324569944823109,372,376,4,-374,184,190
0.034620794114465,374,377,3,-375.5,185.5,190
0.0367845937466191,375,378,3,-376.5,186,190.5
0.0389483933787731,373,376,3,-374.5,185,189.5
0.0411121930109272,372,374,2,-373,185,188
0.0432759926430813,375,377,2,-376,186.5,189.5
0.0454397922752353,375,378,3,-376.5,186,190.5
0.0476035919073894,371,374,3,-372.5,184,188.5
0.0497673915395434,373,375,2,-374,185.5,188.5
0.0519311911716975,372,375,3,-373.5,184.5,189
0.0540949908038516,370,373,3,-371.5,183.5,188
0.0562587904360056,370,372,2,-371,184,187
0.0584225900681597,370,373,3,-371.5,183.5,188
0.0605863897003138,369,370,1,-369.5,184,185.5
0.0627501893324678,368,370,2,-369,183,186
0.0649139889646219,367,373,6,-370,180.5,189.5
0.0670777885967759,367,370,3,-368.5,182,186.5
0.06924158822893,367,367,0,-367,183.5,183.5
0.0714053878610841,367,369,2,-368,182.5,185.5
0.0735691874932381,369,373,4,-371,182.5,188.5
0.0757329871253922,368,369,1,-368.5,183.5,185
0.0778967867575463,367,368,1,-367.5,183,184.5
0.0800605863897003,367,370,3,-368.5,182,186.5
0.0822243860218544,367,370,3,-368.5,182,186.5
0.0843881856540084,364,366,2,-365,181,184
0.0865519852861625,366,369,3,-367.5,181.5,186
0.0887157849183166,368,370,2,-369,183,186
0.0908795845504706,366,369,3,-367.5,181.5,186
0.0930433841826247,367,367,0,-367,183.5,183.5
0.0952071838147788,365,369,4,-367,180.5,186.5
0.0973709834469328,365,365,0,-365,182.5,182.5
0.0995347830790869,365,366,1,-365.5,182,183.5
0.101698582711241,365,366,1,-365.5,182,183.5
0.103862382343395,364,366,2,-365,181,184
0.106026181975549,361,362,1,-361.5,180,181.5
0.108189981607703,360,362,2,-361,179,182
0.110353781239857,361,364,3,-362.5,179,183.5
0.112517580872011,360,361,1,-360.5,179.5,181
0.114681380504165,359,360,1,-359.5,179,180.5
0.116845180136319,357,362,5,-359.5,176,183.5
0.119008979768473,357,360,3,-358.5,177,181.5
0.121172779400628,353,355,2,-354,175.5,178.5
0.123336579032782,354,356,2,-355,176,179
0.125500378664936,355,358,3,-356.5,176,180.5
0.12766417829709,351,356,5,-353.5,173,180.5
