t,leadI,leadII,leadIII,aVR,aVL,aVF
0,526,493,-33,-509.5,279.5,230
0.00214339299110492,528,503,-25,-515.5,276.5,239
0.00428678598220984,528,509,-19,-518.5,273.5,245
0.00643017897331476,529,514,-15,-521.5,272,249.5
0.00857357196441968,530,518,-12,-524,271,253
0.0107169649555246,531,519,-12,-525,271.5,253.5
0.0128603579466295,527,518,-9,-522.5,268,254.5
0.0150037509377344,522,517,-5,-519.5,263.5,256
0.0171471439288394,523,517,-6,-520,264.5,255.5
0.0192905369199443,521,516,-5,-518.5,263,255.5
0.0214339299110492,521,518,-3,-519.5,262,257.5
0.0235773229021541,520,517,-3,-518.5,261.5,257
0.025720715893259,519,515,-4,-517,261.5,255.5
0.0278641088843639,520,516,-4,-518,262,256
0.0300075018754689,520,517,-3,-518.5,261.5,257
0.0321508948665738,520,515,-5,-517.5,262.5,255
0.0342942878576787,520,514,-6,-517,263,254
0.0364376808487836,516,512,-4,-514,260,254
0.0385810738398885,512,510,-2,-511,257,254
0.0407244668309935,511,507,-4,-509,257.5,251.5
0.0428678598220984,511,506,-5,-508.5,258,250.5
0.0450112528132033,507,505,-2,-506,254.5,251.5
0.0471546458043082,504,503,-1,-503.5,252.5,251
0.0492980387954131,504,502,-2,-503,253,250
0.0514414317865181,503,499,-4,-501,253.5,247.5
0.053584824777623,506,500,-6,-503,256,247
0.0557282177687279,507,502,-5,-504.5,256,248.5
0.0578716107598328,511,505,-6,-508,258.5,249.5
0.0600150037509377,515,506,-9,-510.5,262,248.5
0.0621583967420427,511,505,-6,-508,258.5,249.5
0.0643017897331476,502,501,-1,-501.5,251.5,250
0.0664451827242525,494,495,1,-494.5,246.5,248
0.0685885757153574,493,492,-1,-492.5,247,245.5
0.0707319687064623,492,491,-1,-491.5,246.5,245
0.0728753616975673,495,492,-3,-493.5,249,244.5
0.0750187546886722,499,492,-7,-495.5,253,242.5
0.0771621476797771,503,495,-8,-499,255.5,243.5
0.079305540670882,506,499,-7,-502.5,256.5,246
0.0814489336619869,510,503,-7,-506.5,258.5,248
0.0835923266530918,512,504,-8,-508,260,248
0.0857357196441968,514,504,-10,-509,262,247
0.0878791126353017,508,504,-4,-506,256,250
0.0900225056264066,503,501,-2,-502,252.5,249.5
0.0921658986175115,498,497,-1,-497.5,249.5,248
0.0943092916086164,495,494,-1,-494.5,248,246.5
0.0964526845997214,497,495,-2,-496,249.5,246.5
0.0985960775908263,498,494,-4,-496,251,245
0.100739470581931,499,494,-5,-496.5,252,244.5
0.102882863573036,499,494,-5,-496.5,252,244.5
0.105026256564141,496,493,-3,-494.5,249.5,245
0.107169649555246,497,493,-4,-495,250.5,244.5
0.109313042546351,498,492,-6,-495,252,243
0.111456435537456,495,491,-4,-493,249.5,243.5
0.113599828528561,496,491,-5,-493.5,250.5,243
0.115743221519666,498,491,-7,-494.5,252.5,242
0.117886614510771,500,494,-6,-497,253,244
0.120030007501875,502,496,-6,-499,254,245
0.12217340049298,510,501,-9,-505.5,259.5,246
0.124316793484085,526,511,-15,-518.5,270.5,248
0.12646018647519,544,526,-18,-535,281,254
0.128603579466295,563,541,-22,-552,292.5,259.5
0.1307469724574,583,559,-24,-571,303.5,267.5
0.132890365448505,606,579,-27,-592.5,316.5,276
0.13503375843961,625,598,-27,-611.5,326,285.5
0.137177151430715,642,614,-28,-628,335,293
0.13932054442182,655,627,-28,-641,341.5,299.5
0.141463937412925,659,635,-24,-647,341.5,305.5
0.14360733040403,651,638,-13,-644.5,332,312.5
0.145750723395135,637,631,-6,-634,321.5,312.5
0.147894116386239,622,621,-1,-621.5,311.5,310
0.150037509377344,601,607,6,-604,297.5,306.5
0.152180902368449,584,591,7,-587.5,288.5,299
0.154324295359554,563,574,11,-568.5,276,292.5
0.156467688350659,539,555,16,-547,261.5,285.5
0.158611081341764,521,538,17,-529.5,252,277.5
0.160754474332869,511,526,15,-518.5,248,270.5
0.162897867323974,506,517,11,-511.5,247.5,264
0.165041260315079,506,514,8,-510,249,261
0.167184653306184,508,511,3,-509.5,252.5,257
0.169328046297289,509,510,1,-509.5,254,255.5
0.171471439288394,510,509,-1,-509.5,255.5,254
0.173614832279498,513,508,-5,-510.5,259,251.5
0.175758225270603,509,508,-1,-508.5,255,253.5
0.177901618261708,506,506,0,-506,253,253
0.180045011252813,505,502,-3,-503.5,254,249.5
0.182188404243918,504,500,-4,-502,254,248
0.184331797235023,502,499,-3,-500.5,252.5,248
0.186475190226128,501,496,-5,-498.5,253,245.5
0.188618583217233,501,497,-4,-499,252.5,246.5
0.190761976208338,504,498,-6,-501,255,246
0.192905369199443,505,498,-7,-501.5,256,245.5
0.195048762190548,503,499,-4,-501,253.5,247.5
0.197192155181653,499,497,-2,-498,250.5,247.5
0.199335548172757,497,495,-2,-496,249.5,246.5
0.201478941163862,496,491,-5,-493.5,250.5,243
0.203622334154967,495,491,-4,-493,249.5,243.5
0.205765727146072,494,491,-3,-492.5,248.5,244
0.207909120137177,497,490,-7,-493.5,252,241.5
0.210052513128282,499,493,-6,-496,252.5,243.5
0.212195906119387,501,495,-6,-498,253.5,244.5
0.214339299110492,504,498,-6,-501,255,246
0.216482692101597,504,498,-6,-501,255,246
0.218626085092702,504,499,-5,-501.5,254.5,247
