t,leadI,leadII,leadIII,aVR,aVL,aVF
0,499,472,-27,-485.5,263,222.5
0.00216192844016863,496,478,-18,-487,257,230
0.00432385688033726,492,480,-12,-486,252,234
0.00648578532050589,490,481,-9,-485.5,249.5,236
0.00864771376067452,491,482,-9,-486.5,250,236.5
0.0108096422008432,492,484,-8,-488,250,238
0.0129715706410118,493,486,-7,-489.5,250,239.5
0.0151334990811804,496,489,-7,-492.5,251.5,241
0.017295427521349,494,489,-5,-491.5,249.5,242
0.0194573559615177,496,490,-6,-493,251,242
0.0216192844016863,496,491,-5,-493.5,250.5,243
0.0237812128418549,506,497,-9,-501.5,257.5,244
0.0259431412820236,522,508,-14,-515,268,247
0.0281050697221922,543,523,-20,-533,281.5,251.5
0.0302669981623608,566,544,-22,-555,294,261
0.0324289266025295,592,566,-26,-579,309,270
0.0345908550426981,616,585,-31,-600.5,323.5,277
0.0367527834828667,635,606,-29,-620.5,332,288.5
0.0389147119230353,650,622,-28,-636,339,297
0.041076640363204,656,632,-24,-644,340,304
0.0432385688033726,651,635,-16,-643,333.5,309.5
0.0454004972435412,637,629,-8,-633,322.5,310.5
0.0475624256837099,617,616,-1,-616.5,309,307.5
0.0497243541238785,592,599,7,-595.5,292.5,303
0.0518862825640471,568,580,12,-574,278,296
0.0540482110042158,547,561,14,-554,266.5,287.5
0.0562101394443844,527,543,16,-535,255.5,279.5
0.058372067884553,512,528,16,-520,248,272
0.0605339963247217,502,516,14,-509,244,265
0.0626959247648903,497,507,10,-502,243.5,258.5
0.0648578532050589,495,502,7,-498.5,244,254.5
0.0670197816452275,498,501,3,-499.5,247.5,252
0.0691817100853962,500,500,0,-500,250,250
0.0713436385255648,504,501,-3,-502.5,253.5,249
0.0735055669657334,506,502,-4,-504,255,249
0.0756674954059021,508,502,-6,-505,257,248
0.0778294238460707,508,503,-5,-505.5,256.5,249
0.0799913522862393,507,502,-5,-504.5,256,248.5
0.082153280726408,504,500,-4,-502,254,248
0.0843152091665766,503,499,-4,-501,253.5,247.5
0.0864771376067452,499,497,-2,-498,250.5,247.5
0.0886390660469139,497,495,-2,-496,249.5,246.5
0.0908009944870825,497,494,-3,-495.5,250,245.5
0.0929629229272511,496,493,-3,-494.5,249.5,245
0.0951248513674197,495,492,-3,-493.5,249,244.5
