t,leadI,leadII,leadIII,aVR,aVL,aVF
0,843,1022,179,-932.5,332,600.5
0.00216262975778547,844,1021,177,-932.5,333.5,599
0.00432525951557093,844,1020,176,-932,334,598
0.0064878892733564,845,1021,176,-933,334.5,598.5
0.00865051903114187,846,1021,175,-933.5,335.5,598
0.0108131487889273,847,1021,174,-934,336.5,597.5
0.0129757785467128,847,1021,174,-934,336.5,597.5
0.0151384083044983,848,1021,173,-934.5,337.5,597
0.0173010380622837,847,1022,175,-934.5,336,598.5
0.0194636678200692,845,1021,176,-933,334.5,598.5
0.0216262975778547,845,1020,175,-932.5,335,597.5
0.0237889273356401,845,1022,177,-933.5,334,599.5
0.0259515570934256,843,1021,178,-932,332.5,599.5
0.0281141868512111,844,1023,179,-933.5,332.5,601
0.0302768166089965,844,1022,178,-933,333,600
0.032439446366782,844,1023,179,-933.5,332.5,601
0.0346020761245675,844,1020,176,-932,334,598
0.0367647058823529,843,1022,179,-932.5,332,600.5
0.0389273356401384,843,1022,179,-932.5,332,600.5
0.0410899653979239,843,1021,178,-932,332.5,599.5
0.0432525951557093,842,1023,181,-932.5,330.5,602
0.0454152249134948,841,1023,182,-932,329.5,602.5
0.0475778546712803,842,1020,178,-931,332,599
0.0497404844290657,842,1019,177,-930.5,332.5,598
0.0519031141868512,840,1021,181,-930.5,329.5,601
0.0540657439446367,840,1021,181,-930.5,329.5,601
0.0562283737024221,840,1020,180,-930,330,600
0.0583910034602076,839,1021,182,-930,328.5,601.5
0.0605536332179931,839,1020,181,-929.5,329,600.5
0.0627162629757786,838,1023,185,-930.5,326.5,604
0.064878892733564,837,1021,184,-929,326.5,602.5
0.0670415224913495,839,1022,183,-930.5,328,602.5
0.069204152249135,837,1021,184,-929,326.5,602.5
0.0713667820069204,837,1022,185,-929.5,326,603.5
0.0735294117647059,838,1020,182,-929,328,601
0.0756920415224914,837,1022,185,-929.5,326,603.5
0.0778546712802768,839,1022,183,-930.5,328,602.5
0.0800173010380623,837,1020,183,-928.5,327,601.5
0.0821799307958478,835,1021,186,-928,324.5,603.5
0.0843425605536332,834,1022,188,-928,323,605
0.0865051903114187,834,1022,188,-928,323,605
0.0886678200692042,835,1023,188,-929,323.5,605.5
0.0908304498269896,836,1021,185,-928.5,325.5,603
0.0929930795847751,837,1021,184,-929,326.5,602.5
0.0951557093425606,837,1023,186,-930,325.5,604.5
0.097318339100346,838,1022,184,-930,327,603
0.0994809688581315,837,1022,185,-929.5,326,603.5
0.101643598615917,837,1023,186,-930,325.5,604.5
0.103806228373702,836,1023,187,-929.5,324.5,605
0.105968858131488,837,1022,185,-929.5,326,603.5
0.108131487889273,837,1023,186,-930,325.5,604.5
0.110294117647059,836,1021,185,-928.5,325.5,603
0.112456747404844,835,1022,187,-928.5,324,604.5
0.11461937716263,834,1022,188,-928,323,605
0.116782006920415,834,1021,187,-927.5,323.5,604
0.118944636678201,832,1020,188,-926,322,604
0.121107266435986,832,1023,191,-927.5,320.5,607
0.123269896193772,834,1022,188,-928,323,605
0.125432525951557,833,1021,188,-927,322.5,604.5
0.127595155709343,833,1023,190,-928,321.5,606.5
0.129757785467128,835,1021,186,-928,324.5,603.5
0.131920415224913,836,1023,187,-929.5,324.5,605
0.134083044982699,839,1023,184,-931,327.5,603.5
0.136245674740484,843,1021,178,-932,332.5,599.5
0.13840830449827,848,1021,173,-934.5,337.5,597
0.140570934256055,851,1021,170,-936,340.5,595.5
0.142733564013841,854,1021,167,-937.5,343.5,594
0.144896193771626,859,1021,162,-940,348.5,591.5
0.147058823529412,869,1023,154,-946,357.5,588.5
0.149221453287197,887,1022,135,-954.5,376,578.5
0.151384083044983,900,1022,122,-961,389,572
0.153546712802768,908,1023,115,-965.5,396.5,569
0.155709342560554,903,1021,118,-962,392.5,569.5
0.157871972318339,889,1020,131,-954.5,379,575.5
0.160034602076125,872,1020,148,-946,362,584
0.16219723183391,859,1022,163,-940.5,348,592.5
0.164359861591696,852,1023,171,-937.5,340.5,597
0.166522491349481,849,1023,174,-936,337.5,598.5
0.168685121107266,844,1022,178,-933,333,600
0.170847750865052,834,1023,189,-928.5,322.5,606
0.173010380622837,827,1023,196,-925,315.5,609.5
0.175173010380623,821,1023,202,-922,309.5,612.5
0.177335640138408,819,1021,202,-920,308.5,611.5
0.179498269896194,819,1020,201,-919.5,309,610.5
0.181660899653979,821,1022,201,-921.5,310,611.5
0.183823529411765,825,1023,198,-924,313.5,610.5
0.18598615916955,828,1020,192,-924,318,606
0.188148788927336,830,1021,191,-925.5,319.5,606
0.190311418685121,831,1020,189,-925.5,321,604.5
0.192474048442907,830,1021,191,-925.5,319.5,606
0.194636678200692,829,1021,192,-925,318.5,606.5
0.196799307958478,829,1022,193,-925.5,318,607.5
0.198961937716263,826,1021,195,-923.5,315.5,608
0.201124567474048,825,1022,197,-923.5,314,609.5
0.203287197231834,826,1020,194,-923,316,607
0.205449826989619,825,1023,198,-924,313.5,610.5
0.207612456747405,824,1022,198,-923,313,610
0.20977508650519,824,1020,196,-922,314,608
0.211937716262976,823,1020,197,-921.5,313,608.5
0.214100346020761,823,1021,198,-922,312.5,609.5
0.216262975778547,822,1022,200,-922,311,611
0.218425605536332,822,1022,200,-922,311,611
0.220588235294118,825,1021,196,-923,314.5,608.5
0.222750865051903,828,1023,195,-925.5,316.5,609
0.224913494809689,828,1020,192,-924,318,606
0.227076124567474,829,1019,190,-924,319.5,604.5
0.22923875432526,828,1021,193,-924.5,317.5,607
0.231401384083045,828,1020,192,-924,318,606
0.23356401384083,829,1020,191,-924.5,319,605.5
0.235726643598616,829,1022,193,-925.5,318,607.5
0.237889273356401,830,1020,190,-925,320,605
0.240051903114187,830,1022,192,-926,319,607
0.242214532871972,830,1020,190,-925,320,605
0.244377162629758,829,1022,193,-925.5,318,607.5
0.246539792387543,831,1020,189,-925.5,321,604.5
0.248702422145329,831,1020,189,-925.5,321,604.5
0.250865051903114,829,1020,191,-924.5,319,605.5
