t,leadI,leadII,leadIII,aVR,aVL,aVF
0,537,583,46,-560,245.5,314.5
0.00216309755569976,537,575,38,-556,249.5,306.5
0.00432619511139952,536,565,29,-550.5,253.5,297
0.00648929266709929,535,555,20,-545,257.5,287.5
0.00865239022279905,538,545,7,-541.5,265.5,276
0.0108154877784988,535,540,5,-537.5,265,272.5
0.0129785853341986,533,542,9,-537.5,262,275.5
0.0151416828898983,528,548,20,-538,254,284
0.0173047804455981,527,550,23,-538.5,252,286.5
0.0194678780012979,524,546,22,-535,251,284
0.0216309755569976,524,542,18,-533,253,280
0.0237940731126974,523,532,9,-527.5,257,270.5
0.0259571706683971,518,521,3,-519.5,257.5,262
0.0281202682240969,518,517,-1,-517.5,259.5,258
0.0302833657797967,517,522,5,-519.5,256,263.5
0.0324464633354964,516,525,9,-520.5,253.5,267
0.0346095608911962,510,529,19,-519.5,245.5,274
0.036772658446896,511,530,19,-520.5,246,274.5
0.0389357560025957,510,526,16,-518,247,271
0.0410988535582955,509,517,8,-513,250.5,262.5
0.0432619511139952,514,511,-3,-512.5,258.5,254
0.045425048669695,515,509,-6,-512,260.5,251.5
0.0475881462253948,513,510,-3,-511.5,258,253.5
0.0497512437810945,512,513,1,-512.5,255.5,257
0.0519143413367943,511,520,9,-515.5,251,264.5
0.054077438892494,507,524,17,-515.5,245,270.5
0.0562405364481938,501,517,16,-509,242.5,266.5
0.0584036340038936,496,508,12,-502,242,260
0.0605667315595933,490,497,7,-493.5,241.5,252
0.0627298291152931,488,490,2,-489,243,246
0.0648929266709929,487,485,-2,-486,244.5,241.5
0.0670560242266926,489,493,4,-491,242.5,248.5
0.0692191217823924,489,499,10,-494,239.5,254.5
0.0713822193380921,492,503,11,-497.5,240.5,257
0.0735453168937919,495,505,10,-500,242.5,257.5
0.0757084144494917,496,502,6,-499,245,254
0.0778715120051914,494,492,-2,-493,248,245
0.0800346095608912,493,484,-9,-488.5,251,237.5
0.082197707116591,494,485,-9,-489.5,251.5,238
0.0843608046722907,496,490,-6,-493,251,242
0.0865239022279905,495,494,-1,-494.5,248,246.5
0.0886869997836902,492,499,7,-495.5,242.5,253
0.09085009733939,491,501,10,-496,240.5,255.5
0.0930131948950898,488,498,10,-493,239,254
0.0951762924507895,487,488,1,-487.5,243,244.5
0.0973393900064893,487,483,-4,-485,245.5,239.5
0.099502487562189,488,479,-9,-483.5,248.5,235
