22.98,125.94,332
0.00,123.26,126.50,332
0.00,122.65,125.82,332
0.00,121.66,124.52,332
0.00,120.13,122.49,332
0.00,119.02,120.74,332
0.00,118.47,120.54,332
0.00,118.88,122.01,332
0.00,120.00,123.63,332
0.00,121.35,125.08,332
0.00,122.33,125.87,332
0.00,122.24,125.36,332
0.00,122.45,126.08,332
0.00,123.95,127.68,332
0.00,124.50,127.76,332
0.00,124.37,127.29,332
0.00,124.00,126.94,332
0.00,123.46,126.69,332
0.00,124.14,128.12,332
0.00,126.27,130.79,332
0.00,128.09,132.74,332
0.00,128.60,132.81,332
0.00,127.90,130.97,332
0.00,126.58,129.09,332
0.00,125.34,127.71,332
0.00,124.98,128.33,332
0.00,125.25,129.05,332
0.00,126.00,129.31,332
0.00,125.19,127.87,332
0.00,123.52,125.75,332
0.00,122.57,124.73,332
0.00,122.14,124.54,332
0.00,122.37,125.20,332
0.00,124.16,127.58,332
0.00,126.01,129.31,332
0.00,126.55,129.77,332
0.00,126.67,129.83,332
0.00,126.76,129.88,332
0.00,126.82,129.91,332
0.00,126.60,129.39,332
0.00,125.90,128.48,332
0.00,125.66,128.35,332
0.00,126.83,130.42,332
0.00,128.77,133.00,332
0.00,130.18,134.35,332
0.00,130.40,133.72,332
0.00,129.75,132.71,332
0.00,128.20,130.63,332
0.00,126.52,128.84,332
0.00,126.11,128.61,332
0.00,126.08,128.72,332
0.00,125.79,127.98,332
0.00,124.77,126.91,332
0.00,124.56,126.93,332
0.00,124.41,127.22,332
0.00,123.76,126.35,332
0.00,123.01,125.99,332
0.00,122.74,125.99,332
0.00,122.81,126.26,332
0.00,123.13,127.00,332
0.00,123.37,127.27,332
0.00,123.54,127.20,332
0.00,124.20,127.69,332
0.00,125.50,129.39,332
0.00,126.71,130.91,332
0.00,127.33,130.66,332
0.00,126.43,128.86,332
0.00,126.86,129.98,332
0.00,127.98,131.34,332
0.00,128.25,131.25,332
0.00,127.64,129.29,332
0.00,126.66,128.40,332
0.00,126.75,129.37,332
0.00,127.90,131.70,332
0.00,128.74,132.59,332
0.00,128.00,131.35,332
0.00,126.92,129.64,332
0.00,125.86,128.65,332
0.00,124.82,127.94,332
0.00,124.06,126.87,332
0.00,122.96,125.56,332
0.00,122.43,124.87,332
0.00,122.85,126.25,332
0.00,123.97,127.81,332
0.00,124.79,128.40,332
0.00,125.12,128.02,332
0.00,124.82,127.74,332
0.00,125.41,128.89,332
0.00,125.84,129.73,332
0.00,125.61,128.99,332
0.00,125.18,128.19,332
0.00,125.94,129.76,332
0.00,127.58,131.44,332
0.00,128.77,133.21,332
0.00,129.37,133.43,332
0.00,129.00,132.50,332
0.00,128.73,131.83,332
0.00,127.72,130.52,332
0.00,127.53,130.65,332
0.00,128.20,131.56,332
0.00,129.76,133.84,332
0.00,130.37,134.42,332
0.00,129.19,132.15,332
0.00,127.25,129.95,332
0.00,126.91,130.77,332
0.00,128.28,132.99,332
0.00,130.37,134.89,332
0.00,130.54,134.92,332
0.00,128.77,131.97,332
0.00,127.21,130.63,332
0.00,127.70,131.81,332
0.00,129.67,134.56,332
0.00,131.92,137.11,332
0.00,133.83,138.70,332
0.00,134.69,139.32,332
0.00,135.31,139.78,332
0.00,134.96,139.03,332
0.00,134.43,138.21,332
0.00,133.23,135.99,332
0.00,131.82,134.37,332
0.00,130.79,133.19,332
0.00,129.49,132.33,332
0.00,128.01,130.35,332
0.00,126.93,129.17,332
0.00,125.60,127.78,332
0.00,124.62,127.30,332
0.00,124.46,126.95,332
0.00,124.60,126.96,332
0.00,124.71,126.97,332
0.00,123.44,125.63,332
0.00,122.51,124.65,332
0.00,121.29,123.39,332
0.00,120.67,123.02,332
0.00,119.95,122.20,332
0.00,119.15,121.61,332
0.00,118.84,121.71,332
0.00,119.69,123.95,332
0.00,121.40,126.67,332
0.00,123.45,128.92,332
0.00,124.68,129.48,332
0.00,124.77,129.08,332
0.00,124.02,127.44,332
0.00,122.12,125.16,332
0.00,120.20,122.95,332
0.00,119.60,122.70,332
0.00,120.79,124.67,332
0.00,123.55,128.81,332
0.00,127.99,134.54,332
0.00,135.02,143.58,332
0.00,145.55,156.66,332
0.00,157.56,171.61,332
0.00,169.56,184.14,332
0.00,177.79,191.13,332
0.00,181.63,192.98,332
0.00,181.46,189.48,332
0.00,176.74,181.51,332
0.00,168.71,170.03,332
0.00,159.33,158.13,332
0.00,151.41,148.91,332
0.00,145.35,143.26,332
0.00,141.75,140.22,332
0.00,139.11,138.00,332
0.00,135.84,134.76,332
0.00,132.64,131.04,332
0.00,129.23,128.33,332
0.00,126.73,125.81,332
0.00,125.18,125.32,332
0.00,125.13,126.04,332
0.00,124.56,125.49,332
0.00,122.79,124.01,332
0.00,121.49,122.93,332
0.00,120.82,122.68,332
0.00,120.60,122.76,332
0.00,120.98,123.64,332
0.00,122.06,125.36,332
0.00,122.59,125.53,332
0.00,122.70,125.39,332
0.00,122.51,124.74,332
0.00,121.83,123.73,332
0.00,121.34,122.99,332
0.00,121.52,123.81,332
0.00,122.73,126.02,332
0.00,124.42,128.18,332
0.00,125.39,128.67,332
0.00,125.01,127.41,332
0.00,124.47,127.30,332
0.00,125.15,128.57,332
0.00,127.00,130.85,332
0.00,128.89,133.05,332
0.00,130.00,133.58,332
0.00,130.00,133.15,332
0.00,130.00,132.84,332
0.00,129.19,132.07,332
0.00,128.33,130.70,332
0.00,127.43,129.97,332
0.00,127.58,130.79,332
0.00,128.78,132.47,332
0.00,129.65,133.15,332
0.00,130.28,133.38,332
0.00,131.29,134.63,332
0.00,132.02,135.54,332
0.00,132.55,136.20,332
0.00,132.95,136.15,332
0.00,132.42,135.03,332
0.00,131.77,134.21,332
0.00,131.83,134.42,332
0.00,132.96,136.74,332
0.00,135.13,139.51,332
0.00,138.07,142.62,332
0.00,139.94,144.61,332
0.00,141.04,145.53,332
0.00,141.30,145.11,332
0.00,140.68,143.73,332
0.00,139.41,141.64,332
0.00,137.95,139.58,332
0.00,137.42,139.69,332
0.00,138.12,141.13,332
0.00,139.71,143.52,332
0.00,140.87,144.73,332
0.00,141.44,145.08,332
0.00,141.59,144.78,332
0.00,142.24,145.65,332
0.00,143.26,147.10,332
0.00,143.46,146.53,332
0.00,141.44,143.42,332
0.00,139.43,141.41,332
0.00,139.59,142.38,332
0.00,141.86,145.79,332
0.00,144.60,149.63,332
0.00,146.06,151.08,332
0.00,145.50,149.44,332
0.00,143.48,146.35,332
0.00,140.92,143.01,332
0.00,138.78,140.04,332
0.00,136.68,137.60,332
0.00,134.33,135.00,332
0.00,132.62,133.65,332
0.00,131.91,133.21,332
0.00,130.32,131.26,332
0.00,128.07,128.22,332
0.00,126.16,126.00,332
0.00,125.04,125.46,332
0.00,124.49,125.33,332
0.00,123.81,124.70,332
0.00,122.78,123.70,332
0.00,121.49,122.70,332
0.00,120.55,122.51,332
0.00,120.40,122.37,332
0.00,120.29,122.27,332
0.00,120.75,123.28,332
0.00,121.09,124.01,332
0.00,120.80,123.47,332
0.00,120.58,123.34,332
0.00,120.42,122.98,332
0.00,119.50,121.63,332
0.00,118.82,120.92,332
0.00,119.14,121.75,332
0.00,119.91,122.90,332
0.00,120.75,124.28,332
0.00,120.55,123.39,332
0.00,119.86,122.48,332
0.00,118.82,121.81,332
0.00,119.14,122.40,332
0.00,120.99,124.72,332
0.00,122.61,126.69,332
0.00,122.99,126.23,332
0.00,122.18,125.09,332
0.00,121.32,123.71,332
0.00,120.42,122.44,332
0.00,119.50,122.05,332
0.00,119.90,123.39,332
0.00,121.55,125.71,332
0.00,123.29,127.68,332
0.00,124.02,128.04,332
0.00,124.02,127.49,332
0.00,123.47,126.01,332
0.00,122.80,125.46,332
0.00,122.59,125.34,332
0.00,122.97,125.52,332
0.00,122.71,125.11,332
0.00,122.79,125.35,332
0.00,122.30,124.71,332
0.00,122.22,125.06,332
0.00,123.24,126.67,332
0.00,124.53,128.11,332
0.00,124.66,128.08,332
0.00,123.94,126.71,332
0.00,123.14,125.98,332
0.00,122.29,125.44,332
0.00,122.49,126.40,332
0.00,123.70,128.46,332
0.00,124.87,129.95,332
0.00,125.71,130.51,332
0.00,126.33,130.91,332
0.00,126.78,131.20,332
0.00,127.11,130.61,332
0.00,126.81,129.90,332
0.00,124.97,127.23,332
0.00,122.55,123.92,332
0.00,120.78,122.32,332
0.00,120.84,123.32,332
0.00,122.50,126.20,332
0.00,124.53,128.31,332
0.00,125.20,129.04,332
0.00,125.41,128.76,332
0.00,125.03,128.28,332
